PRUID,Name,NameFR,Date,Confirmed_Cases,Probable_Cases,Deaths,Total_Cases,Cases_Today,Percent_Today,ObjectId,Deaths_Today,Current_Day,Number_Recovered,Number_Tested,RecoveredToday,TestedToday,Precent_Recovered,Percent_Death,Percent_Active
35,Ontario,Ontario,2020/01/31 12:00:00+00,3,0,0,3,3,300,1,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/01/31 12:00:00+00,1,0,0,1,1,100,2,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/01/31 12:00:00+00,4,0,0,4,4,400,3,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/08 12:00:00+00,3,0,0,3,0,0,4,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/08 12:00:00+00,4,0,0,4,3,300,5,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/08 12:00:00+00,7,0,0,7,3,75,6,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/16 12:00:00+00,3,0,0,3,0,0,7,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/16 12:00:00+00,5,0,0,5,1,25,8,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/16 12:00:00+00,8,0,0,8,1,14.29,9,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/21 12:00:00+00,3,0,0,3,0,0,10,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/21 12:00:00+00,6,0,0,6,1,20,11,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/21 12:00:00+00,9,0,0,9,1,12.5,12,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/24 12:00:00+00,4,0,0,4,1,33.33,13,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/24 12:00:00+00,6,0,0,6,0,0,14,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/24 12:00:00+00,10,0,0,10,1,11.11,15,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/25 12:00:00+00,11,0,0,11,1,10,16,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/25 12:00:00+00,7,0,0,7,1,16.67,17,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/25 12:00:00+00,4,0,0,4,0,0,18,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/26 12:00:00+00,5,0,0,5,1,25,19,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/26 12:00:00+00,7,0,0,7,0,0,20,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/26 12:00:00+00,12,0,0,12,1,9.09,21,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/27 12:00:00+00,6,0,0,6,1,20,22,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/27 12:00:00+00,7,0,0,7,0,0,23,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/27 12:00:00+00,13,0,0,13,1,8.33,24,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/02/29 12:00:00+00,8,0,0,8,2,33.33,25,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/02/29 12:00:00+00,7,0,0,7,0,0,26,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/02/29 12:00:00+00,15,0,0,15,2,15.38,27,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/03/01 12:00:00+00,15,0,0,15,7,87.5,28,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/01 12:00:00+00,8,0,0,8,1,14.29,29,0,0,0,0,0,0,,0,100
24,Quebec,Québec,2020/03/01 12:00:00+00,1,0,0,1,1,100,30,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/03/01 12:00:00+00,24,0,0,24,9,60,31,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/03/03 12:00:00+00,33,0,0,33,9,37.5,32,0,0,0,0,0,0,,0,100
24,Quebec,Québec,2020/03/03 12:00:00+00,1,0,0,1,0,0,33,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/03/03 12:00:00+00,20,0,0,20,5,33.33,34,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/03 12:00:00+00,12,0,0,12,4,50,35,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/03/05 12:00:00+00,22,0,0,22,2,10,36,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/05 12:00:00+00,21,0,0,21,9,75,37,0,0,0,0,0,0,,0,100
24,Quebec,Québec,2020/03/05 12:00:00+00,2,0,0,2,1,100,38,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/03/05 12:00:00+00,45,0,0,45,12,36.36,39,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/03/06 12:00:00+00,28,0,0,28,6,27.27,40,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/06 12:00:00+00,21,0,0,21,0,0,41,0,0,0,0,0,0,,0,100
24,Quebec,Québec,2020/03/06 12:00:00+00,2,0,0,2,0,0,42,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/03/06 12:00:00+00,51,0,0,51,6,13.33,43,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/03/07 12:00:00+00,57,0,0,57,6,11.76,44,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/03/07 12:00:00+00,28,0,0,28,0,0,45,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/07 12:00:00+00,27,0,0,27,6,28.57,46,0,0,0,0,0,0,,0,100
24,Quebec,Québec,2020/03/07 12:00:00+00,2,0,0,2,0,0,47,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/03/08 12:00:00+00,62,0,1,62,5,8.77,48,1,0,0,0,0,0,,1.61,98.39
48,Alberta,Alberta,2020/03/08 12:00:00+00,1,0,0,1,1,100,49,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/08 12:00:00+00,27,0,1,27,0,0,50,1,0,0,0,0,0,,3.7,96.3
35,Ontario,Ontario,2020/03/08 12:00:00+00,31,0,0,31,3,10.71,51,0,0,0,0,0,0,,0,100
24,Quebec,Québec,2020/03/08 12:00:00+00,3,0,0,3,1,50,52,0,0,0,0,0,0,,0,100
35,Ontario,Ontario,2020/03/09 12:00:00+00,34,0,0,34,3,9.68,53,0,0,0,0,0,0,,0,100
59,British Columbia,Colombie-Britannique,2020/03/09 12:00:00+00,32,0,1,32,5,18.52,54,0,0,0,0,0,0,,3.13,96.88
24,Quebec,Québec,2020/03/09 12:00:00+00,4,0,0,4,1,33.33,55,0,0,0,0,0,0,,0,100
48,Alberta,Alberta,2020/03/09 12:00:00+00,7,0,0,7,6,600,56,0,0,0,0,0,0,,0,100
1,Canada,Canada,2020/03/09 12:00:00+00,77,0,1,77,15,24.19,57,0,0,0,0,0,0,,1.3,98.7
